greek,english,chapter,type
ὁ Ἀβραάμ,Abraham,1,name
ἀμήν,"amen, truly",1,other
ὁ Δαυίδ,David,1,name
ὁ ῥαββί,rabbi,1,noun
ὁ Ἰακώβ,Jacob,1,name
ὁ Ἰσραήλ,Israel,1,name
ὁ Ἰωσήφ,Joseph,1,name
καί,and,1,conjunction
ἄγω,"I lead, bring",2,verb
ἀκούω,"I hear, listen to",2,verb
βάλλω,I throw,2,verb
βλέπω,"I see, watch",2,verb
διδάσκω,I teach,2,verb
ἔχω,"I have, hold",2,verb
λαμβάνω,"I take, receive",2,verb
λέγω,"I say, speak, tell",2,verb
λύω,I untie,2,verb
ζητέω,I seek,2,verb
καλέω,I call,2,verb
λαλέω,"I speak, say",2,verb
ποιέω,"I do, make",2,verb
τηρέω,I keep,2,verb
φιλέω,"I love, like",2,verb
ἄγγελος ,"messenger, angel",2,noun
ἀδελφός ,brother,2,noun
ἄρτος ,bread,2,noun
δοῦλος ,slave,2,noun
θεός ,"god, God",2,noun
κόσμος ,world,2,noun
κύριος ,"lord, master, sir",2,noun
λόγος ,"word, message",2,noun
νόμος ,law,2,noun
οἶκος ,"household, house",2,noun
οὐρανός ,heaven,2,noun
ὄχλος ,crowd,2,noun
υἱός ,son,2,noun
Χριστός ,"Christ, Messiah",2,name
"ὁ, ἡ, τό",the,2,other
ἄνθρωπος ,"human being, person",2,noun
λαός ,people (as in ‘a people’ or ‘a nation’),2,noun
ἡ ἀγάπη,love,3,noun
ἡ ἀδελφή,sister,3,noun
ἡ ἀρχή,beginning,3,noun
"ἡ γῆ","earth, soil, land",3,noun
ἡ ζωή,life,3,noun
ἡ φωνή,"sound, voice",3,noun
ἡ ψυχή,"soul, self",3,noun
ἡ ἁμαρτία,sin,3,noun
ἡ βασιλεία,"reign, kingship, kingom",3,noun
ἡ ἐκκλησία,assembly (later ‘church’),3,noun
ἡ ἡμέρα,day,3,noun
ἡ καρδία,heart,3,noun
Μαρία,Mary,3,noun
Μαριάμ,Mary,3,noun
ἡ οἰκία,"house, household",3,noun
ἡ ὥρα,"hour, occasion",3,noun
ἡ δόξα,"splendour, glory",3,noun
ἡ θάλασσα,"sea, lake",3,noun
τό βιβλίον,"book, scroll",3,noun
τό δαιμόνιον,demon,3,noun
τό ἔργον,"work, deed",3,noun
εὐαγγέλιον,"good news, gospel",3,noun
τό ἱερόν,temple,3,noun
τό πλοῖον,boat,3,noun
τό πρόσωπον,face,3,noun
τό σάββατον,Sabbath,3,noun
τό σημεῖον,"sign, miracle",3,noun
τό τέκνον,child,3,noun
αὐτός,"he, she, it, they",3,other
Ἰησοῦς,Jesus,3,name
ὁ Παῦλος ,Paul,3,name
ὁ Πέτρος ,Peter,3,name
πιστεύω,"(+ dat.) I believe (in), trust, have faith in",3,preposition
ἀπό,(+gen.) (away) from,4,preposition
διά,(+acc.) because of; (+gen.) through,4,preposition
εἰς,(+acc.) into,4,preposition
ἐκ,(+gen.) (out of) from,4,preposition
ἐν,(+dat.) in,4,preposition
ἐνώπιον,"(+gen.) in front of, in the presence of",4,preposition
ἔξω,(+gen.) outside,4,preposition
ἐπί,"(+acc.) onto; (+gen.) on, in the time of; (+dat.) on, in, on the basis of",4,preposition
ἕως,(+gen.) until,4,preposition
κατά,(+acc.) according to; (+gen.) against,4,preposition
μετά,(+acc.) after; (+gen.) with,4,preposition
παρά,(+acc.) alongside; (+gen.) from beside; (+dat.) beside,4,preposition
περί,"(+acc.) around, approximately; (+gen.) concerning, about",4,preposition
πρό,(+gen.) before,4,preposition
πρός,"(+acc.) to, towards",4,preposition
σύν,(+dat.) together with,4,preposition
ὑπέρ,(+acc.) above; (+gen.) on behalf of,4,preposition
ὑπό,"(+acc.) under; (+gen.) by, at the hands of",4,preposition
ἀναβλέπω,"I look up, receive sight ",4,verb
ἀπολύω,"I set free, divorce, dismiss",4,verb
ἐκβάλλω,"I drive out, cast out, throw out",4,verb
ἐπικαλέω,"I call upon, name",4,verb
κατοικέω,"I dwell, inhabit, live",4,verb
παρακαλέω,"I exhort, request, comfort, encourage",4,verb
παραλαμβάνω,"I take, receive",4,verb
περιπατέω,"I walk about, live",4,verb
προσκυνέω,(+dat.) I worship,4,verb
συνάγω,"I gather, bring together",4,verb
ὑπάγω,I depart,4,verb
πῶς,how?,4,other
ποῦ,where?,4,other
"οὐ, οὐκ, οὐχ",not ,4,other
ἀγαθός ,good,5,adjective
ἀγαπητός ,beloved,5,adjective
ἅγιος ,holy,5,adjective
δίκαιος ,"upright, just",5,adjective
ἕκαστος ,each,5,adjective
ἕτερος ,"another, different",5,adjective
ἴδιος ,one’s own,5,adjective
Ἰουδαῖος ,"Jewish, a Jew",5,adjective
κακός ,bad,5,adjective
καλός ,"beautiful, good",5,adjective
καινός ,new,5,adjective
μακάριος ,"blessed, happy",5,adjective
μόνος ,"only, alone",5,adjective
νεκρός ,dead,5,adjective
ὁσός,"as/how great, as/how much",5,other
πιστός ,"faithful, believing",5,adjective
πονηρός ,"evil, wicked",5,adjective
τυφλός ,blind,5,adjective
μέγα μέγας μεγάλη,"large, great",5,adjective
πολύ πολύς πολλή,"much, many",5,adjective
Γαλιλαία,Galilee,5,name
ἡ εἰρήνη,peace,5,noun
ἡ κεφαλή,head,5,noun
ἡ συναγωγή,synagogue,5,noun
ἀλλά,but,5,other
εἰ,if,5,other
ἤ,or,5,other
ὡς,"as, like",5,other
ὁ καιρός ,"time, season",5,noun
εἰμί,I am,5,other
"τά Ἱεροσόλυμα, ἡ Ἰερουσαλήμ",Jerusalem,5,name
αἰώνιος,eternal,5,adjective
ἀνοίγω,I open,6,verb
ἀποκαλύπτω,"I reveal, uncover",6,verb
βαπτίζω,"I baptise, dip",6,verb
